61	33	79	77	7	56	67	75	2	46	59	50	61	55	72	18	9	13	28	74
46	3	19	72	44	72	79	3	15	49	47	77	61	2	65	62	22	63	76	53
46	43	31	33	74	47	20	67	27	47	45	56	49	64	21	70	80	11	73	22
45	79	8	12	64	61	66	65	12	60	65	44	73	2	53	35	42	9	58	6
22	6	53	14	61	44	67	49	27	23	14	33	54	52	60	50	72	73	15	58
15	76	23	27	65	1	12	34	30	16	50	14	26	42	58	78	80	5	18	14
8	13	75	61	52	24	57	42	80	71	24	27	72	29	61	78	10	34	64	43
10	74	52	33	77	35	19	61	60	23	63	29	31	8	61	47	10	43	17	6
74	13	49	15	9	18	72	28	14	67	25	12	44	37	25	24	22	50	70	53
68	8	1	69	8	64	50	28	5	18	57	33	20	46	51	47	19	8	62	66
59	27	65	42	25	9	51	24	13	53	3	27	37	63	38	40	41	14	46	23
72	15	41	44	57	41	58	67	49	6	43	60	70	16	74	32	11	45	13	65
67	42	42	69	76	23	61	22	7	10	4	26	60	1	7	67	63	58	76	21
15	75	33	15	55	55	39	19	9	80	42	73	36	8	60	40	48	11	71	23
59	24	18	57	31	40	61	39	60	78	11	61	23	61	2	20	36	65	15	45
40	55	36	19	74	62	43	43	64	27	40	8	57	4	37	76	60	66	45	29
29	51	32	51	23	55	68	37	66	4	68	79	51	61	39	23	25	67	72	79
59	25	51	72	64	72	49	80	63	38	66	22	43	6	50	23	38	44	40	56
9	71	37	29	19	18	53	3	58	39	54	34	3	59	73	44	41	27	39	43
53	79	38	43	49	66	70	46	73	77	56	37	41	57	32	12	53	7	41	44
75	79	15	58	25	21	44	22	56	2	19	79	31	47	29	44	77	79	50	41
75	30	27	39	34	47	54	26	72	20	38	43	60	60	45	54	63	75	65	75
10	73	54	58	28	35	49	33	57	11	59	16	38	32	10	5	53	50	36	15
26	69	59	65	57	3	55	1	34	25	3	56	50	47	34	47	28	76	52	13
41	72	80	45	29	68	11	75	5	55	12	36	50	67	44	40	67	33	47	73
13	60	62	5	52	1	23	4	47	31	2	6	47	31	26	1	70	62	59	60
77	78	78	26	76	34	43	20	15	47	8	16	3	1	63	31	77	51	7	24
70	19	39	20	23	42	38	15	25	74	78	47	43	3	65	18	42	48	53	28
19	15	50	68	64	21	78	35	3	7	66	20	46	23	55	3	48	17	65	58
4	77	53	19	68	63	29	59	60	31	45	12	60	75	40	53	18	25	65	63
11	80	3	32	57	10	55	77	56	55	66	62	27	21	40	28	47	40	20	41
69	75	66	40	23	72	30	56	38	18	2	58	8	79	65	39	66	6	54	27
35	74	70	25	48	41	31	32	18	35	66	78	67	43	21	4	9	12	5	62
7	15	45	70	26	57	42	44	11	71	45	58	11	25	13	35	15	22	54	13
48	77	58	64	77	79	49	29	42	56	8	29	47	61	49	45	32	75	32	55
32	60	18	67	62	41	70	56	7	55	28	79	58	32	72	42	50	44	60	71
72	14	7	53	46	64	17	16	39	58	27	49	74	68	43	40	33	64	12	25
20	59	32	40	66	68	4	31	54	3	75	76	35	3	12	56	7	43	43	41
42	5	69	53	13	15	52	23	30	12	34	43	38	65	28	41	33	3	54	66
62	20	51	6	30	33	64	44	76	18	29	16	77	62	60	14	16	22	10	31
19	17	44	3	17	19	55	52	69	80	3	43	70	46	30	79	1	78	63	6
3	22	2	23	80	63	76	58	73	66	60	11	71	19	58	22	47	54	15	44
41	36	71	55	4	79	57	68	48	79	70	36	47	58	67	59	75	50	50	8
40	52	42	39	63	71	10	74	69	54	77	43	7	36	3	76	22	35	13	43
